param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.0007633932321541697
0.1,0.5,0.1,-0.0007781082224109784
0.1,1.0,0.1,-0.000796200083687592
0.1,0.1,0.2,-0.011928289646543022
0.1,0.5,0.2,-0.012093624628552083
0.1,1.0,0.2,-0.012112865619869491
0.1,0.1,0.3,-0.017987790787963337
0.1,0.5,0.3,-0.01786001363323209
0.1,1.0,0.3,-0.017706621352123433
1.0,0.1,0.1,-0.0007972440888811941
1.0,0.5,0.1,-0.0008407443307165066
1.0,1.0,0.1,-0.0008334466261666025
1.0,0.1,0.2,-0.012123055021322668
1.0,0.5,0.2,-0.0108160572359125
1.0,1.0,0.2,-0.010695092387480462
1.0,0.1,0.3,-0.01769808149586501
1.0,0.5,0.3,-0.016521775350528987
1.0,1.0,0.3,-0.015291952772571678
10.0,0.1,0.1,-0.0008441878447816243
10.0,0.5,0.1,-0.0008412816415476397
10.0,1.0,0.1,-0.0008883393203253584
10.0,0.1,0.2,-0.010763405767290764
10.0,0.5,0.2,-0.00853374848551418
10.0,1.0,0.2,-0.008536667632070288
10.0,0.1,0.3,-0.015230985212125908
10.0,0.5,0.3,-0.01210665144170949
10.0,1.0,0.3,-0.012313275674153521
